bandit,reward,algorithm
1,0.79396596234548,epsilon-greedy
1,2.093967801540715,epsilon-greedy
1,0.7945872329441486,epsilon-greedy
1,2.232597810477627,epsilon-greedy
1,0.49788896614100775,epsilon-greedy
1,0.13947110798259754,epsilon-greedy
1,0.3409889509330227,epsilon-greedy
2,1.0252613011171672,epsilon-greedy
2,2.24539936166398,epsilon-greedy
2,2.4383803419199204,epsilon-greedy
3,2.896089465824154,epsilon-greedy
3,3.820023099131817,epsilon-greedy
4,4.816801233662051,epsilon-greedy
4,4.22961284006432,epsilon-greedy
4,4.899889510228822,epsilon-greedy
4,4.525055230496958,epsilon-greedy
4,2.039051744231665,epsilon-greedy
4,3.1026106220891276,epsilon-greedy
4,4.799551180302878,epsilon-greedy
4,3.879601650864987,epsilon-greedy
4,4.61266722508435,epsilon-greedy
4,3.1299931919221216,epsilon-greedy
4,3.956601356027962,epsilon-greedy
4,2.502222046682221,epsilon-greedy
4,4.32769056787784,epsilon-greedy
4,2.9279937465545287,epsilon-greedy
4,6.392295009449263,epsilon-greedy
4,5.206257347741038,epsilon-greedy
4,4.605021164441412,epsilon-greedy
4,0.8055864821526733,epsilon-greedy
4,3.941707974737454,epsilon-greedy
4,4.42596967828826,epsilon-greedy
4,3.346374412595761,epsilon-greedy
4,3.199441358968178,epsilon-greedy
4,4.105544779439098,epsilon-greedy
4,2.575892350663458,epsilon-greedy
4,3.3238020389827407,epsilon-greedy
4,3.7085364919139607,epsilon-greedy
4,2.3593039198920556,epsilon-greedy
4,3.4520998874279356,epsilon-greedy
4,4.177828439570643,epsilon-greedy
4,4.15886229428216,epsilon-greedy
4,3.5195600669107012,epsilon-greedy
4,3.913059978322183,epsilon-greedy
4,5.173762402551648,epsilon-greedy
4,2.0682498965222584,epsilon-greedy
4,3.6529257748020485,epsilon-greedy
4,2.637448382662203,epsilon-greedy
4,2.505432430743923,epsilon-greedy
4,5.986308590418553,epsilon-greedy
4,4.106087724193032,epsilon-greedy
4,2.9201352446277506,epsilon-greedy
4,3.836393467887798,epsilon-greedy
4,4.712401667930076,epsilon-greedy
4,3.1598911170075565,epsilon-greedy
4,2.8875273451265966,epsilon-greedy
4,2.9520439481888503,epsilon-greedy
4,4.971341737014703,epsilon-greedy
4,3.7514610653090714,epsilon-greedy
4,3.051169824034962,epsilon-greedy
4,4.830861148010051,epsilon-greedy
4,4.62357712465473,epsilon-greedy
4,4.668388090521759,epsilon-greedy
4,4.224040549249745,epsilon-greedy
4,3.4108683324719165,epsilon-greedy
4,3.641111717012775,epsilon-greedy
4,4.842486920236587,epsilon-greedy
4,2.931772949850206,epsilon-greedy
4,2.2973321163580565,epsilon-greedy
4,4.157171333547141,epsilon-greedy
4,4.03199460956668,epsilon-greedy
4,3.584136435589883,epsilon-greedy
4,3.628034475312559,epsilon-greedy
4,3.558391893094765,epsilon-greedy
4,3.281754924134189,epsilon-greedy
4,3.900980150990727,epsilon-greedy
4,4.817254081522473,epsilon-greedy
4,4.119283554012584,epsilon-greedy
4,4.414658772848245,epsilon-greedy
4,4.483853783426698,epsilon-greedy
4,5.924327918952367,epsilon-greedy
4,2.5819792095395986,epsilon-greedy
4,3.0718384430346513,epsilon-greedy
4,4.653062050632923,epsilon-greedy
4,5.991234120083075,epsilon-greedy
4,4.307550896750518,epsilon-greedy
4,5.71273577665032,epsilon-greedy
4,3.513926833398962,epsilon-greedy
4,3.563385868000837,epsilon-greedy
4,5.569726041547899,epsilon-greedy
4,6.039565826929893,epsilon-greedy
4,5.0087771149598135,epsilon-greedy
4,3.175505229354484,epsilon-greedy
4,3.154763034392219,epsilon-greedy
4,3.908102416939579,epsilon-greedy
4,4.033298133921501,epsilon-greedy
4,3.3321218007938516,epsilon-greedy
4,4.607086204963248,epsilon-greedy
4,5.7424747732478965,epsilon-greedy
4,2.396881336261054,epsilon-greedy
4,4.446051336423045,epsilon-greedy
4,4.587330922150088,epsilon-greedy
4,4.031076821724314,epsilon-greedy
4,4.177415607217774,epsilon-greedy
4,4.39934032323454,epsilon-greedy
