bandit,reward,algorithm
1,1.6554349557943266,thompson-sampling
1,2.0702539731449985,thompson-sampling
1,1.9571100421923968,thompson-sampling
1,1.0672194990024777,thompson-sampling
1,0.563031541809804,thompson-sampling
1,-0.40704856504246045,thompson-sampling
1,0.34719658146740406,thompson-sampling
1,0.4020164201934239,thompson-sampling
3,4.217130806485601,thompson-sampling
3,1.0054207744726822,thompson-sampling
4,3.8363638942007334,thompson-sampling
4,1.5752664768776863,thompson-sampling
4,3.2712862985937967,thompson-sampling
4,1.938923881037041,thompson-sampling
4,2.6977722651487572,thompson-sampling
4,4.587609821874525,thompson-sampling
4,6.13676837823229,thompson-sampling
4,2.557483010237201,thompson-sampling
4,2.7494696114111408,thompson-sampling
4,4.473848512326243,thompson-sampling
4,2.5148688191496666,thompson-sampling
4,4.2702028305770865,thompson-sampling
4,5.001355094290588,thompson-sampling
4,4.565620812531492,thompson-sampling
4,5.317143359349002,thompson-sampling
4,3.7602664154188563,thompson-sampling
4,4.007384312622856,thompson-sampling
4,5.1327793455336135,thompson-sampling
4,5.536393653026112,thompson-sampling
4,5.4797838748377625,thompson-sampling
4,4.170827475816135,thompson-sampling
4,3.469272797526546,thompson-sampling
4,5.161056849593284,thompson-sampling
4,2.667069047870032,thompson-sampling
4,4.082700516176098,thompson-sampling
4,4.365095121096777,thompson-sampling
4,4.794276463142921,thompson-sampling
4,6.331994683230823,thompson-sampling
4,3.984152731517375,thompson-sampling
4,3.6800909479373694,thompson-sampling
4,1.6950593120635356,thompson-sampling
4,7.027874148964997,thompson-sampling
4,4.731230000876232,thompson-sampling
4,3.600489200820138,thompson-sampling
4,4.009551258142864,thompson-sampling
4,2.367011414626629,thompson-sampling
4,5.785804007480348,thompson-sampling
4,4.639854852971524,thompson-sampling
4,2.489870022892582,thompson-sampling
4,3.2030443600952037,thompson-sampling
4,3.8827935296216443,thompson-sampling
4,5.021280915605207,thompson-sampling
4,3.0175073555180307,thompson-sampling
4,4.0650699702828135,thompson-sampling
4,4.051193980427282,thompson-sampling
4,4.703205572224938,thompson-sampling
4,1.844846031637644,thompson-sampling
4,3.3100850931617956,thompson-sampling
4,4.8306125063101755,thompson-sampling
4,4.613306069116036,thompson-sampling
4,4.425392478041116,thompson-sampling
4,4.946875674863497,thompson-sampling
4,6.362540850465612,thompson-sampling
4,3.56011157626178,thompson-sampling
4,5.68550327430342,thompson-sampling
4,3.1336527096285627,thompson-sampling
4,4.532496691407769,thompson-sampling
4,3.673834046093382,thompson-sampling
4,4.4906506710258025,thompson-sampling
4,3.579868736228573,thompson-sampling
4,4.135541000373112,thompson-sampling
4,4.895186827838632,thompson-sampling
4,3.987069319373075,thompson-sampling
4,4.495283645579633,thompson-sampling
4,4.431528393724401,thompson-sampling
4,5.074145126350253,thompson-sampling
4,3.6601082777966996,thompson-sampling
4,3.25821069954251,thompson-sampling
4,3.6829528471466215,thompson-sampling
4,2.9540280682488564,thompson-sampling
4,5.861223718422244,thompson-sampling
4,5.831189043405439,thompson-sampling
4,3.904720556256758,thompson-sampling
4,4.012164948378619,thompson-sampling
4,3.4101730872825984,thompson-sampling
4,5.586511822407845,thompson-sampling
4,5.100837036090995,thompson-sampling
4,4.948322624670935,thompson-sampling
4,4.824062328178302,thompson-sampling
4,3.705303259291867,thompson-sampling
4,5.236077273290366,thompson-sampling
4,4.991014511867969,thompson-sampling
4,6.0380995751376165,thompson-sampling
4,3.6640358081804383,thompson-sampling
4,6.027193261049662,thompson-sampling
4,4.765986680847149,thompson-sampling
4,4.3956224094766565,thompson-sampling
4,3.6851115869557147,thompson-sampling
4,3.9192360435571647,thompson-sampling
4,4.397106630835726,thompson-sampling
4,3.25783305943527,thompson-sampling
4,3.9283918905225748,thompson-sampling
4,2.8679302978968533,thompson-sampling
4,2.5685566365919303,thompson-sampling
4,5.6578992271115744,thompson-sampling
4,3.0424166320737793,thompson-sampling
4,2.930718051940325,thompson-sampling
4,4.638268306452098,thompson-sampling
4,3.695570286401397,thompson-sampling
4,3.5529758664813538,thompson-sampling
4,4.214085277975784,thompson-sampling
4,4.215023640613396,thompson-sampling
4,3.556904842379282,thompson-sampling
4,4.492686722336774,thompson-sampling
4,4.245668206241543,thompson-sampling
4,3.0261024862952404,thompson-sampling
4,3.866125522573748,thompson-sampling
4,2.255651075373142,thompson-sampling
4,3.706172042161911,thompson-sampling
